N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,ACC+
140,squared_error,8,2.25,1,-12.46
90,squared_error,6,7.0,19,-13.06
180,squared_error,11,2.25,9,-12.6
140,poisson,1,3.5,13,-12.67
50,absolute_error,15,6.0,17,0.0
160,absolute_error,6,8.75,7,-0.61
190,poisson,18,8.5,14,-13.02
160,absolute_error,1,7.25,13,-0.61
190,squared_error,11,9.75,5,-12.69
70,poisson,17,5.0,6,-13.25
170,poisson,14,0.25,5,-12.85
80,poisson,18,1.0,1,-12.03
200,squared_error,10,2.75,16,-12.43
20,squared_error,8,3.0,5,-12.5
130,absolute_error,5,8.0,19,0.0
40,poisson,1,8.5,18,-13.07
50,squared_error,4,1.5,4,-12.34
20,squared_error,8,1.75,14,-11.83
30,poisson,18,1.75,19,-11.31
160,poisson,17,1.75,15,-12.4
20,absolute_error,20,0.0,6,-4.35
160,squared_error,19,8.75,15,-12.05
50,absolute_error,4,5.5,17,0.0
190,absolute_error,1,7.5,3,-1.02
40,poisson,20,0.25,5,-13.37
70,poisson,17,2.5,8,-12.79
170,poisson,13,8.0,4,-12.01
140,poisson,5,1.75,1,-12.39
120,squared_error,20,0.0,15,-12.28
130,poisson,1,5.25,18,-12.4
130,absolute_error,19,7.0,14,0.0
70,absolute_error,10,7.0,13,0.0
110,squared_error,5,7.5,17,-12.43
140,poisson,17,4.75,9,-12.14
40,absolute_error,10,9.25,13,0.0
180,squared_error,9,6.25,3,-12.44
50,absolute_error,12,0.5,3,-1.89
40,absolute_error,10,2.0,12,0.0
140,absolute_error,20,8.25,13,-1.37
120,absolute_error,12,1.75,17,-2.33
110,poisson,14,1.0,4,-12.4
160,absolute_error,15,1.25,8,-0.61
160,absolute_error,19,3.5,19,0.0
80,poisson,5,5.0,19,-12.43
150,absolute_error,17,3.0,16,0.0
80,poisson,2,1.25,12,-12.07
180,absolute_error,20,4.5,9,-1.08
60,absolute_error,20,0.0,8,-1.59
10,poisson,6,9.25,19,-13.73
30,poisson,14,3.5,14,-12.5
20,poisson,12,9.5,10,-12.37
40,squared_error,12,9.0,10,-12.69
40,poisson,4,3.25,4,-12.3
10,poisson,13,0.75,8,-13.73
120,poisson,7,0.25,4,-13.09
30,absolute_error,15,0.0,13,0.0
110,poisson,9,6.0,11,-12.8
90,squared_error,12,6.5,15,-12.56
100,squared_error,9,4.75,14,-12.58
110,poisson,17,2.25,10,-13.47
100,squared_error,16,6.25,12,-12.73
70,absolute_error,1,8.25,18,0.0
20,absolute_error,13,1.75,13,0.0
190,poisson,17,5.25,11,-12.32
90,poisson,20,1.25,9,-12.93
90,absolute_error,9,8.0,10,0.0
80,poisson,17,5.5,3,-12.43
90,poisson,19,2.5,10,-13.01
200,absolute_error,5,7.25,4,0.0
170,poisson,1,2.75,16,-11.95
10,poisson,17,5.25,11,-11.97
130,squared_error,3,1.5,4,-12.84
90,squared_error,5,9.25,7,-12.44
10,squared_error,5,2.5,11,-11.11
130,poisson,10,0.75,18,-11.8
80,squared_error,7,1.0,5,-13.49
10,squared_error,5,2.0,15,-13.95
20,squared_error,19,9.75,6,-12.63
140,absolute_error,8,1.75,10,0.0
50,squared_error,8,9.5,11,-12.4
110,poisson,9,9.5,5,-12.02
200,absolute_error,12,3.0,18,-0.49
30,squared_error,3,8.25,11,-12.67
20,poisson,8,8.25,19,-11.97
150,poisson,12,4.5,15,-12.79
70,absolute_error,18,2.75,8,0.0
60,absolute_error,16,8.75,6,0.0
10,absolute_error,7,10.0,15,0.0
170,poisson,12,1.5,1,-12.64
170,poisson,6,4.0,3,-12.89
50,squared_error,12,2.75,12,-12.4
190,squared_error,2,5.0,9,-12.55
170,squared_error,19,9.25,19,-12.52
90,poisson,1,1.25,4,-13.14
120,absolute_error,9,5.0,2,0.0
80,absolute_error,6,6.0,11,0.0
150,poisson,19,0.75,19,-12.84
120,poisson,1,10.0,13,-12.28
30,absolute_error,2,9.25,16,-3.03
60,absolute_error,19,0.75,10,0.0
120,poisson,2,6.0,7,-12.59
110,squared_error,10,10.0,18,-12.69
150,poisson,6,0.5,1,-13.01
120,poisson,19,8.0,11,-12.82
120,squared_error,5,6.5,10,-12.84
140,absolute_error,18,2.75,11,0.0
110,poisson,14,2.75,11,-12.4
60,absolute_error,2,5.75,3,0.0
120,absolute_error,10,3.5,16,0.0
10,poisson,3,3.5,7,-8.82
90,poisson,20,4.0,20,-12.62
200,absolute_error,4,6.0,17,0.0
180,squared_error,7,3.25,19,-11.87
120,absolute_error,9,4.25,18,-0.81
160,absolute_error,12,8.5,15,0.0
60,absolute_error,2,4.5,13,0.0
130,squared_error,1,9.5,2,-12.78
50,poisson,14,3.0,8,-12.6
170,squared_error,2,3.5,3,-12.38
110,squared_error,5,1.25,9,-12.76
130,squared_error,7,8.5,20,-12.6
30,poisson,16,6.0,8,-12.93
80,squared_error,19,3.25,15,-11.58
80,poisson,5,5.0,8,-13.13
60,poisson,3,0.5,19,-12.93
40,poisson,15,8.0,7,-12.37
80,absolute_error,11,9.75,2,-1.2
130,squared_error,11,3.5,9,-12.66
100,squared_error,16,6.5,18,-12.21
160,absolute_error,19,7.0,3,0.0
120,squared_error,14,8.0,16,-12.37
30,absolute_error,14,8.25,16,0.0
130,poisson,2,4.5,19,-12.48
20,squared_error,14,9.5,9,-12.5
160,poisson,19,7.0,17,-12.69
170,poisson,15,1.0,16,-12.55
60,squared_error,1,7.0,16,-12.67
190,squared_error,3,9.75,9,-12.29
140,squared_error,11,8.5,13,-12.26
10,squared_error,16,6.0,11,-13.73
200,squared_error,6,3.5,19,-12.63
150,squared_error,18,8.0,10,-12.2
110,squared_error,19,6.75,10,-12.48
20,poisson,3,3.5,2,-12.88
150,absolute_error,16,2.25,16,0.0
170,squared_error,5,9.75,20,-12.8
70,squared_error,9,4.25,16,-11.73
130,squared_error,14,9.25,18,-13.22
70,squared_error,8,9.5,3,-11.97
180,poisson,5,0.0,11,-13.5
120,poisson,8,8.75,15,-12.86
10,squared_error,18,0.0,3,-12.5
120,poisson,5,1.75,5,-12.61
20,poisson,11,5.25,7,-12.63
10,poisson,12,2.0,16,-11.11
160,poisson,4,6.75,16,-12.65
200,poisson,12,3.75,12,-12.24
120,squared_error,18,5.75,14,-12.17
130,poisson,1,5.0,7,-12.68
100,absolute_error,6,0.25,8,-0.97
60,squared_error,20,2.75,5,-13.37
160,poisson,16,8.25,2,-12.32
70,poisson,17,2.25,2,-12.68
110,absolute_error,17,7.0,15,0.0
10,squared_error,7,7.75,1,-10.81
10,absolute_error,3,8.75,13,0.0
70,poisson,10,4.25,17,-12.12
60,absolute_error,10,3.25,8,0.0
90,absolute_error,13,6.75,15,-1.08
200,poisson,8,8.75,13,-12.91
80,poisson,16,4.5,13,-13.19
60,poisson,2,8.25,20,-12.5
80,squared_error,3,5.75,7,-12.1
200,squared_error,11,1.0,5,-13.0
30,squared_error,12,5.5,16,-12.76
70,squared_error,19,7.75,19,-12.46
190,absolute_error,1,8.5,1,-0.52
120,poisson,16,4.75,6,-12.69
60,absolute_error,20,4.75,17,0.0
170,absolute_error,3,5.75,14,-1.14
100,poisson,2,3.0,4,-12.66
110,squared_error,6,5.25,15,-12.76
110,absolute_error,16,1.5,6,0.0
90,squared_error,5,4.0,6,-12.38
100,squared_error,18,7.75,17,-12.24
100,poisson,16,0.75,3,-12.83
140,poisson,4,7.75,17,-12.56
140,absolute_error,6,7.75,10,-0.7
190,absolute_error,1,2.25,12,-0.52
40,poisson,4,10.0,10,-12.69
80,absolute_error,19,3.5,3,0.0
200,poisson,14,3.75,13,-12.66
20,absolute_error,3,7.5,17,0.0
140,absolute_error,19,8.25,6,0.0
110,squared_error,17,5.75,14,-12.43
20,absolute_error,12,2.75,19,0.0
80,absolute_error,19,1.25,8,0.0
70,absolute_error,19,9.25,15,0.0
50,absolute_error,8,4.0,7,0.0
80,squared_error,15,3.75,7,-12.34
140,absolute_error,3,0.25,1,-1.68
150,poisson,17,5.75,5,-12.15
130,squared_error,19,2.0,14,-12.09
50,squared_error,19,0.75,12,-12.4
170,absolute_error,14,6.75,13,-0.58
170,poisson,5,4.25,6,-12.58
180,squared_error,1,7.5,20,-11.84
150,poisson,1,2.0,6,-12.07
10,poisson,16,4.25,14,-13.25
190,absolute_error,10,8.75,5,0.0
80,poisson,10,2.75,16,-12.6
70,absolute_error,17,3.0,7,-1.37
170,poisson,10,4.75,4,-12.55
180,squared_error,1,7.0,8,-12.86
40,absolute_error,15,8.25,1,0.0
70,absolute_error,15,7.0,4,0.0
190,poisson,15,1.75,16,-12.81
70,poisson,14,0.5,2,-12.16
160,poisson,8,0.5,18,-11.95
80,absolute_error,5,6.75,2,0.0
40,poisson,2,0.25,2,-13.49
30,squared_error,18,3.5,8,-12.93
20,absolute_error,14,6.5,19,0.0
10,squared_error,16,10.0,15,-13.95
90,absolute_error,4,8.5,9,0.0
160,squared_error,9,1.25,6,-13.21
160,poisson,13,8.25,1,-12.47
110,squared_error,7,1.25,11,-12.45
70,poisson,18,7.0,3,-12.16
130,squared_error,16,10.0,4,-12.28
100,poisson,17,0.25,13,-12.66
40,poisson,5,9.75,10,-12.37
180,squared_error,13,2.5,16,-12.51
200,squared_error,14,0.75,8,-12.9
120,absolute_error,19,9.25,6,0.0
40,squared_error,8,0.75,10,-12.63
190,poisson,8,9.25,20,-12.54
40,absolute_error,8,8.75,11,0.0
190,absolute_error,11,0.0,1,-0.52
140,absolute_error,9,3.0,9,-0.7
50,squared_error,10,5.5,20,-11.74
190,squared_error,19,3.75,13,-12.33
70,poisson,10,3.75,5,-12.35
110,poisson,18,3.0,19,-13.34
110,poisson,18,1.0,12,-12.94
40,absolute_error,19,0.0,13,0.0
60,squared_error,18,7.5,20,-12.37
70,absolute_error,7,2.0,5,0.0
80,absolute_error,18,9.0,9,0.0
50,squared_error,20,3.0,17,-12.07
10,poisson,11,7.25,9,-12.5
10,absolute_error,7,9.5,10,0.0
190,absolute_error,13,3.25,12,0.0
30,absolute_error,10,7.25,3,0.0
130,absolute_error,11,8.5,18,-0.75
180,poisson,4,9.75,19,-12.93
80,squared_error,3,3.25,8,-13.31
30,absolute_error,19,4.0,7,0.0
200,absolute_error,20,4.25,3,0.0
90,absolute_error,11,3.75,18,0.0
90,squared_error,11,7.75,15,-12.15
150,squared_error,2,4.25,1,-12.38
120,squared_error,10,9.25,2,-12.43
140,absolute_error,15,5.0,19,0.0
160,absolute_error,13,8.25,13,-1.2
130,poisson,9,8.75,1,-12.4
120,poisson,7,1.5,14,-12.71
120,poisson,12,10.0,6,-12.26
100,poisson,18,2.5,14,-11.91
150,absolute_error,16,3.75,11,0.0
150,absolute_error,6,1.5,20,0.0
150,squared_error,20,9.25,19,-13.01
110,poisson,12,7.0,7,-11.97
120,poisson,10,6.0,19,-12.84
80,poisson,16,1.75,12,-11.55
10,poisson,8,6.0,7,-12.76
160,poisson,2,2.5,5,-12.19
100,absolute_error,7,7.75,18,0.0
130,absolute_error,14,6.25,16,0.0
180,absolute_error,11,8.0,8,-1.08
50,absolute_error,11,3.0,18,0.0
180,squared_error,16,2.0,10,-12.35
50,squared_error,8,4.75,19,-12.71
60,poisson,12,6.0,7,-13.13
160,squared_error,2,2.0,2,-12.53
10,squared_error,13,6.25,13,-11.69
110,squared_error,10,5.0,18,-13.25
190,poisson,5,7.25,17,-12.39
190,squared_error,2,1.25,11,-12.42
150,absolute_error,7,2.0,14,0.0
90,poisson,6,4.25,12,-12.81
90,absolute_error,8,3.0,14,0.0
10,squared_error,19,1.5,3,-13.49
110,poisson,4,6.0,4,-12.92
60,poisson,20,2.25,3,-12.19
50,poisson,16,9.5,13,-13.3
20,absolute_error,11,0.75,17,0.0
200,absolute_error,18,8.25,1,0.0
120,poisson,12,7.5,15,-12.67
200,absolute_error,15,1.5,12,-0.49
150,squared_error,11,7.75,15,-12.6
130,poisson,16,0.5,13,-12.6
180,squared_error,15,9.75,12,-12.73
60,squared_error,11,3.0,14,-12.63
50,poisson,12,0.25,4,-13.49
180,squared_error,8,9.75,20,-12.3
120,absolute_error,17,1.5,7,0.0
10,absolute_error,8,1.0,14,0.0
190,absolute_error,1,9.5,20,0.0
140,poisson,11,2.75,18,-12.24
80,poisson,5,8.5,6,-13.04
110,poisson,19,5.75,11,-11.74
200,squared_error,17,3.5,9,-12.25
170,absolute_error,16,5.75,5,0.0
90,squared_error,16,10.0,18,-13.62
180,absolute_error,12,6.5,18,0.0
60,squared_error,20,5.5,1,-12.06
100,absolute_error,3,6.0,15,0.0
180,absolute_error,8,1.5,13,-0.55
130,squared_error,10,6.75,4,-12.74
130,absolute_error,19,0.0,11,0.0
130,poisson,20,8.25,4,-12.7
200,absolute_error,4,9.5,4,-0.49
20,poisson,4,7.75,2,-12.37
170,squared_error,15,5.0,20,-12.05
70,absolute_error,12,1.0,11,0.0
60,absolute_error,15,0.5,1,0.0
180,squared_error,5,2.5,1,-11.75
40,absolute_error,10,5.75,9,-2.33
10,poisson,2,9.75,8,-12.24
130,poisson,19,3.25,14,-12.5
130,absolute_error,5,3.5,17,0.0
200,squared_error,6,10.0,11,-12.47
10,absolute_error,7,8.75,18,0.0
190,poisson,6,8.5,14,-12.46
90,poisson,6,2.25,7,-12.62
90,squared_error,3,5.0,20,-12.53
80,squared_error,7,6.5,18,-12.4
70,poisson,5,4.5,13,-12.68
190,squared_error,8,2.25,2,-12.32
100,squared_error,3,3.75,19,-12.16
150,poisson,13,0.0,15,-12.18
160,poisson,8,0.25,13,-13.04
180,poisson,12,4.5,17,-11.56
70,absolute_error,6,0.25,4,0.0
140,squared_error,4,9.75,4,-12.35
160,squared_error,1,8.75,4,-12.05
130,absolute_error,10,2.75,9,-2.82
50,absolute_error,20,0.75,2,0.0
200,absolute_error,7,0.5,5,-0.49
120,absolute_error,3,5.5,19,0.0
90,absolute_error,9,1.25,20,0.0
160,absolute_error,1,1.5,16,-1.2
160,poisson,19,8.75,19,-12.8
190,poisson,10,6.5,14,-12.66
80,poisson,11,2.25,8,-12.3
100,absolute_error,17,4.75,7,0.0
50,absolute_error,8,6.75,13,-3.57
140,poisson,10,8.0,12,-12.97
180,poisson,15,4.0,8,-12.43
100,absolute_error,2,7.75,19,0.0
200,squared_error,6,6.0,17,-12.38
120,poisson,16,2.25,13,-11.59
130,absolute_error,10,5.0,19,0.0
20,poisson,19,2.0,6,-11.55
70,absolute_error,10,8.75,2,0.0
40,squared_error,13,0.75,6,-10.96
200,poisson,12,9.25,18,-12.09
160,absolute_error,13,3.25,16,-1.2
190,absolute_error,8,2.5,1,-0.52
110,absolute_error,4,5.5,1,-2.52
150,squared_error,3,6.25,20,-12.38
10,squared_error,10,3.75,10,-13.01
30,squared_error,3,5.5,19,-12.76
20,squared_error,12,7.5,12,-11.55
90,poisson,15,2.75,16,-13.2
200,squared_error,6,8.5,1,-12.63
60,squared_error,12,7.75,2,-11.21
30,absolute_error,3,1.75,7,0.0
70,poisson,6,5.25,17,-12.24
70,poisson,19,4.75,18,-12.68
180,absolute_error,7,6.5,10,0.0
80,absolute_error,16,3.25,15,-1.2
110,absolute_error,7,7.0,13,0.0
10,squared_error,12,8.0,9,-10.19
90,poisson,20,6.25,7,-13.12
190,poisson,14,1.5,10,-12.57
30,squared_error,14,5.25,15,-11.31
200,absolute_error,4,7.5,18,-0.49
60,poisson,11,0.0,10,-12.32
120,absolute_error,19,1.5,2,-0.81
50,squared_error,18,8.0,6,-11.4
10,absolute_error,13,8.25,14,0.0
130,poisson,11,1.0,19,-12.66
100,poisson,3,7.5,17,-12.98
20,poisson,6,3.25,18,-12.63
140,poisson,9,4.25,9,-12.74
140,poisson,13,3.25,13,-12.88
130,squared_error,13,3.5,20,-12.11
200,squared_error,1,0.75,11,-12.59
200,poisson,7,9.25,8,-12.81
90,absolute_error,17,8.25,9,0.0
200,poisson,4,8.0,2,-12.6
200,squared_error,8,9.75,13,-12.18
30,absolute_error,11,0.5,12,0.0
40,absolute_error,13,4.75,15,0.0
200,squared_error,18,2.25,2,-12.68
20,absolute_error,17,1.25,20,0.0
160,absolute_error,12,6.75,15,0.0
100,absolute_error,20,7.5,3,0.0
10,squared_error,5,2.75,19,-13.01
180,absolute_error,9,4.75,15,0.0
90,poisson,9,5.25,10,-12.35
190,squared_error,11,3.75,1,-13.16
170,squared_error,1,2.75,19,-12.42
130,poisson,15,5.25,9,-12.28
140,squared_error,8,0.25,16,-12.0
130,poisson,14,4.25,18,-12.76
120,squared_error,19,3.75,18,-12.8
180,squared_error,8,4.0,12,-12.88
30,poisson,14,1.5,6,-12.41
130,absolute_error,1,7.75,15,0.0
30,absolute_error,14,5.5,5,0.0
120,poisson,12,5.25,12,-12.32
10,poisson,13,3.5,1,-10.5
10,absolute_error,16,2.5,19,0.0
160,absolute_error,1,2.75,12,0.0
170,absolute_error,2,7.25,5,0.0
130,poisson,7,4.5,16,-12.42
140,absolute_error,11,8.25,20,-0.7
170,squared_error,6,6.75,20,-12.64
10,squared_error,5,6.25,16,-14.39
110,absolute_error,14,4.75,13,0.0
110,poisson,16,6.0,20,-12.94
60,poisson,7,1.0,19,-12.88
190,squared_error,8,2.0,14,-12.81
10,poisson,10,8.5,3,-11.4
10,absolute_error,6,2.5,20,0.0
150,squared_error,12,5.0,16,-12.18
120,absolute_error,2,4.0,14,-0.81
120,absolute_error,15,0.5,18,-0.81
80,squared_error,20,7.5,6,-12.88
170,squared_error,13,6.5,7,-12.53
40,squared_error,20,7.5,3,-13.01
130,absolute_error,18,9.5,15,-0.75
110,squared_error,17,3.25,3,-11.94
40,squared_error,8,9.0,18,-13.49
20,squared_error,19,4.25,10,-12.5
40,squared_error,12,7.25,20,-11.97
90,absolute_error,11,7.0,2,-3.03
80,poisson,14,1.0,11,-11.93
130,poisson,12,7.75,20,-12.87
200,poisson,5,8.75,18,-12.56
110,absolute_error,2,4.0,14,-0.88
150,absolute_error,8,5.25,18,-1.28
160,poisson,6,3.25,19,-12.08
120,absolute_error,18,4.0,3,-1.59
40,absolute_error,15,4.75,7,0.0
90,poisson,15,6.5,16,-12.9
20,poisson,8,9.0,2,-12.63
190,poisson,11,9.0,1,-12.72
100,absolute_error,4,8.75,13,0.0
150,poisson,4,5.25,2,-12.59
10,poisson,11,5.25,17,-13.01
160,poisson,11,4.5,20,-12.25
180,absolute_error,8,5.25,7,-0.55
70,absolute_error,15,4.5,10,0.0
140,squared_error,2,7.75,3,-12.54
50,absolute_error,1,3.75,20,0.0
170,squared_error,18,7.25,3,-12.91
100,poisson,19,6.5,7,-12.21
20,absolute_error,13,0.0,15,0.0
110,poisson,20,6.75,18,-13.1
180,poisson,14,9.0,6,-12.5
110,squared_error,3,7.25,6,-12.92
140,absolute_error,8,9.75,7,-1.37
130,squared_error,17,6.75,17,-12.48
140,absolute_error,19,5.0,19,0.0
90,absolute_error,17,6.0,4,-1.08
110,absolute_error,11,6.25,2,0.0
120,poisson,9,6.0,19,-12.46
50,poisson,13,9.75,17,-12.45
200,poisson,19,3.5,12,-12.85
190,squared_error,15,7.0,4,-12.82
40,squared_error,11,9.5,16,-11.26
200,absolute_error,13,10.0,6,-1.44
180,squared_error,6,6.75,20,-12.3
40,squared_error,2,9.5,7,-12.3
90,absolute_error,9,0.75,16,0.0
20,squared_error,18,3.5,3,-12.63
190,absolute_error,18,7.5,17,-1.02
40,poisson,6,2.25,10,-12.03
70,squared_error,19,5.25,16,-11.73
40,absolute_error,4,2.5,12,0.0
40,poisson,17,8.75,16,-12.69
90,squared_error,20,3.75,17,-12.5
100,poisson,20,6.5,2,-12.29
170,absolute_error,8,7.0,14,-0.58
10,absolute_error,18,8.5,5,0.0
110,absolute_error,2,6.0,15,0.0
110,absolute_error,20,2.75,8,0.0
30,squared_error,13,0.5,7,-12.76
170,poisson,2,0.75,19,-12.09
170,poisson,7,1.25,16,-12.62
10,absolute_error,5,4.5,6,0.0
70,poisson,11,8.75,19,-12.35
130,absolute_error,5,7.75,14,-0.75
100,absolute_error,15,2.5,5,-0.97
110,squared_error,19,3.75,2,-12.33
140,squared_error,13,7.25,5,-12.74
50,poisson,19,5.5,20,-13.63
190,squared_error,17,6.0,8,-12.9
30,squared_error,17,7.25,16,-11.59
80,squared_error,9,6.75,18,-12.79
140,poisson,18,6.0,14,-12.5
160,absolute_error,20,5.5,19,0.0
170,poisson,18,6.5,9,-12.45
160,squared_error,15,2.25,14,-12.82
150,absolute_error,1,5.75,2,-2.47
120,absolute_error,2,8.25,15,0.0
110,absolute_error,15,9.0,8,-1.72
150,poisson,19,4.5,17,-12.69
50,absolute_error,5,5.75,11,0.0
150,squared_error,11,0.5,19,-12.62
130,poisson,1,6.75,11,-11.99
130,poisson,18,9.25,7,-12.8
10,absolute_error,10,0.0,7,0.0
130,squared_error,14,2.5,1,-12.66
170,absolute_error,13,9.25,5,0.0
80,poisson,6,8.25,10,-12.4
200,squared_error,8,6.25,17,-12.41
180,absolute_error,4,2.75,13,0.0
200,poisson,1,2.25,3,-12.2
140,squared_error,20,0.5,14,-12.44
140,absolute_error,19,2.5,20,0.0
140,poisson,1,9.75,12,-12.16
10,squared_error,8,6.0,18,-11.69
60,squared_error,17,2.5,14,-11.69
40,squared_error,19,1.5,7,-12.88
90,squared_error,13,8.0,12,-12.44
30,poisson,12,0.0,1,-12.32
190,squared_error,15,5.0,11,-12.31
90,poisson,11,5.75,11,-12.73
140,poisson,3,2.0,19,-12.39
150,poisson,3,9.25,6,-12.34
30,absolute_error,13,9.75,11,0.0
110,absolute_error,2,7.25,9,0.0
160,squared_error,13,0.25,1,-12.32
150,absolute_error,8,0.75,8,0.0
90,absolute_error,20,6.25,2,0.0
160,squared_error,10,1.5,15,-13.22
80,poisson,18,2.25,11,-12.98
160,poisson,2,4.0,6,-12.24
10,poisson,18,0.75,10,-12.76
90,squared_error,14,9.75,18,-12.7
80,poisson,16,9.5,3,-13.16
100,absolute_error,17,6.25,12,-1.89
160,poisson,9,4.5,8,-12.82
190,squared_error,3,9.75,11,-12.54
90,squared_error,13,6.75,19,-12.95
130,absolute_error,11,4.75,5,0.0
120,absolute_error,6,9.75,3,0.0
160,squared_error,9,3.75,13,-12.88
140,absolute_error,20,4.25,4,-0.7
120,poisson,19,1.0,16,-13.03
90,squared_error,12,7.0,16,-12.24
70,absolute_error,15,6.25,3,-1.37
140,squared_error,4,0.75,20,-12.46
100,absolute_error,12,3.0,4,0.0
20,squared_error,19,8.0,7,-11.69
10,poisson,11,6.25,4,-8.46
180,poisson,14,0.0,9,-13.28
190,poisson,14,8.25,16,-12.24
140,squared_error,11,5.25,7,-12.44
160,absolute_error,4,9.25,9,0.0
90,absolute_error,14,8.75,5,0.0
70,squared_error,19,4.0,8,-12.72
30,absolute_error,1,8.75,18,0.0
100,poisson,17,9.75,7,-12.02
200,poisson,10,7.75,7,-12.47
40,poisson,17,8.0,10,-11.04
40,squared_error,11,9.75,15,-14.29
110,squared_error,20,8.0,14,-12.62
120,poisson,10,1.25,10,-12.71
70,poisson,11,3.0,12,-12.39
190,absolute_error,1,8.5,18,-0.52
130,poisson,17,2.0,15,-12.56
100,squared_error,17,8.25,17,-11.8
130,squared_error,18,8.75,6,-12.78
20,poisson,12,10.0,12,-11.4
30,poisson,11,8.25,10,-13.09
160,absolute_error,18,9.75,3,-0.61
10,absolute_error,4,8.25,4,0.0
160,squared_error,20,7.0,4,-12.29
10,absolute_error,10,9.0,14,0.0
50,absolute_error,12,7.25,2,0.0
70,absolute_error,9,6.25,1,0.0
50,absolute_error,7,1.0,3,0.0
100,poisson,18,1.75,7,-12.29
200,absolute_error,11,1.0,1,-1.89
140,poisson,9,1.0,5,-12.79
190,poisson,11,1.75,8,-12.15
170,squared_error,3,3.0,11,-12.38
170,squared_error,19,5.5,14,-12.56
160,squared_error,17,1.25,16,-12.5
100,squared_error,8,4.5,19,-13.23
70,squared_error,17,6.75,8,-12.04
190,absolute_error,11,8.25,20,0.0
20,absolute_error,16,10.0,15,0.0
60,absolute_error,1,9.0,18,0.0
180,absolute_error,20,5.25,8,0.0
200,squared_error,9,7.0,5,-12.69
50,absolute_error,9,6.0,2,0.0
80,poisson,14,0.75,8,-13.46
190,absolute_error,17,6.25,15,-0.52
90,absolute_error,9,6.0,16,0.0
160,absolute_error,10,2.75,14,-0.61
140,absolute_error,18,7.5,9,0.0
160,absolute_error,19,7.0,19,-0.61
170,squared_error,16,3.5,2,-12.24
80,poisson,20,4.75,2,-12.34
20,squared_error,5,2.25,3,-10.34
100,squared_error,10,0.0,10,-12.26
70,poisson,13,9.5,10,-13.15
140,squared_error,10,5.0,15,-12.95
150,squared_error,4,2.25,6,-12.38
10,absolute_error,20,1.5,9,0.0
170,absolute_error,10,8.5,16,-0.58
40,absolute_error,12,5.75,14,0.0
60,squared_error,2,7.0,11,-12.46
150,absolute_error,13,6.0,5,0.0
50,squared_error,17,3.25,14,-13.54
40,squared_error,10,1.0,10,-13.13
20,squared_error,17,5.5,12,-13.37
160,squared_error,9,0.5,3,-12.03
170,absolute_error,20,6.75,8,0.0
180,poisson,17,6.75,10,-12.46
80,poisson,17,5.75,10,-12.03
150,squared_error,5,4.0,9,-12.38
200,poisson,11,4.0,19,-12.87
200,absolute_error,3,6.5,19,-0.49
180,squared_error,3,3.0,5,-12.24
50,absolute_error,18,2.0,1,0.0
130,poisson,17,5.25,13,-12.6
30,squared_error,19,8.0,8,-13.01
150,poisson,13,10.0,12,-12.43
180,squared_error,12,1.5,3,-12.84
130,poisson,3,7.25,4,-12.64
40,poisson,12,9.75,19,-12.5
60,absolute_error,12,1.25,15,0.0
140,absolute_error,6,1.0,7,-0.7
140,squared_error,6,6.75,11,-12.26
130,poisson,18,6.25,6,-12.05
70,poisson,1,3.0,5,-12.72
130,squared_error,8,7.0,3,-12.7
70,squared_error,18,1.5,4,-11.57
160,absolute_error,19,9.75,20,-1.2
20,absolute_error,1,8.25,20,0.0
10,poisson,5,1.5,13,-13.01
100,poisson,9,2.5,5,-12.05
110,absolute_error,10,9.0,8,0.0
190,squared_error,11,4.75,1,-12.81
170,absolute_error,8,0.5,12,0.0
30,squared_error,12,2.25,9,-12.24
190,absolute_error,18,7.75,12,-1.51
80,squared_error,10,3.25,4,-12.73
100,absolute_error,16,10.0,18,0.0
70,squared_error,8,1.25,7,-12.2
70,squared_error,4,10.0,14,-12.76
20,absolute_error,20,2.75,3,0.0
140,poisson,20,9.5,8,-12.79
190,poisson,19,1.25,2,-12.12
80,poisson,9,1.75,2,-11.93
70,absolute_error,4,8.0,7,-1.37
140,absolute_error,3,6.5,6,0.0
40,squared_error,13,5.25,9,-13.07
100,absolute_error,4,0.25,19,-0.49
60,absolute_error,20,4.25,2,0.0
160,poisson,19,0.25,8,-12.74
70,poisson,15,2.0,6,-12.5
90,squared_error,9,5.25,20,-12.53
80,poisson,20,10.0,14,-13.1
60,squared_error,10,7.75,14,-12.67
130,absolute_error,19,5.0,15,0.0
190,squared_error,9,4.25,18,-12.33
90,poisson,9,6.5,10,-12.12
190,poisson,7,3.0,19,-11.99
90,absolute_error,14,7.25,3,0.0
90,squared_error,13,6.5,5,-12.9
140,poisson,8,2.25,2,-12.52
10,absolute_error,2,7.5,5,-7.69
130,squared_error,7,2.75,13,-13.12
200,squared_error,8,10.0,17,-12.33
160,squared_error,13,3.0,1,-11.79
150,poisson,4,8.25,16,-12.84
20,squared_error,19,4.0,18,-12.76
40,absolute_error,4,5.5,9,0.0
150,absolute_error,12,0.5,6,-0.65
170,absolute_error,10,8.25,12,-1.14
130,absolute_error,4,7.0,13,0.0
10,absolute_error,17,3.5,3,0.0
150,absolute_error,13,9.5,2,-0.65
120,absolute_error,20,5.75,3,-0.81
200,absolute_error,3,3.25,6,0.0
70,squared_error,15,0.0,18,-12.43
